6 City of Interview,7 Type of Outlet,8 Company,10 Outlet Name,43 - NFR Present or Not,44 Area bracket (sq. feet),44 Approx. area (sq. feet),Monthly Revenue (FR),Rev per Sq. Ft (FR),Margin per Sq. Ft (FR),Monthly Revenue (NFR),NFR revenues as % of Total revenues,Rev per Sq. ft (NFR),Margin per Sq. Ft (NFR),Monthly NFR Profit,Cost as % of Revenue,Demographics - Population - Total,Demographics - Male Population,Demographics - Female Population,Demographics - Total Literate Population,Demographics - Male %,Demographics - Female %,Demographics - Literacy %,Grocery / Hypermart - Concentration of Grocery / Hypermart With respect to Population,Restaurant - Concentration of Restaurant With respect to Population,Hospital - Concentration of Hospital With respect to Population,Police Station - Concentration of Police Station  With respect to Population,Higher Education Institutes - Concentration of higher education institutes  With respect to Population,Apparel Brands Budget - Concentration of apparel brands budget  With respect to Population,Apparel Brands Mid Range - Concentration of apparel brands mid range  With respect to Population,Apparel Brands - Luxury - High Range - Concentration of apparel brands - luxury - high range With respect to Population,Electronics Store - Concentration of Electronics Store  With respect to Population,Gym - Concentration of Gym  With respect to Population,Gym Mid-Range - Concentration of gym mid-range  With respect to Population,Pet Store - Concentration of Pet Store  With respect to Population,Car Rental - Concentration of Car Rental  With respect to Population,Clinics - Concentration of Clinics  With respect to Population,Dentist - Concentration of Dentist  With respect to Population,Pharmacy - Concentration of Pharmacy  With respect to Population,Private Sector Bank - Concentration of private sector bank  With respect to Population,Public Sector Bank - Concentration of public sector bank  With respect to Population,Cafe - Concentration of Cafe  With respect to Population,Latitude,Longitude,Address,Aggregated vehicle related requirements,Truck Stops (Auto Repair / Rest),QSR / Restaurant / Dhaba,Virtual C-store,One stop shop for daily farmer needs,Pharmacy,Forecourt Advertising
Nagpur,Rural,BPCL ,Rahi Petroleum,1,"2) 5,000-10,000",9000,10000000,1481.481481,1451.851852,195000,0.019127023,86.66666667,15.55555556,35000,0.820512821,220770,103222,99419,167133,0.467554468,0.450328396,0.757045794,1.13693,1.91149,1.28188,0.05436,0.7655,0.04077,0.1223,0.05436,1.19582,0.26725,0,0.08153,0.03171,1.4223,0.51185,0.69303,0.26725,0.48467,0.48467,21.1357011,79.0609229,"Rahi Petroleum, Village Shailesh Nagar   Nagpur , Nagpur",0,0,0,0,1,0,0
NH 2 - Palwal,Highway,HPCL ,Shri Radha Filling Station ,1,"2) 5,000-10,000",8500,90000000,14117.64706,14062.7451,1430000,0.015640381,672.9411765,602.3529412,1280000,0.104895105,93316,42352,37126,50218,0.453855716,0.397852458,0.538149942,1.05019,0.90016,0.91088,0.05358,0.21432,0.01072,0.01072,0,2.03608,0.21432,0,0.03215,0,0.13931,0.19289,0.68584,0.32149,0.35364,0.12859,28.1448739,77.3350893,"Shri Radha Filling Station , Mathura Road Palwal, NH 2 - Palwal",1,0,1,0,0,1,0
Arra,Rural,BPCL ,Vindyawasni Fuel Station,1,"2) 5,000-10,000",8500,800000,125.4901961,78.43137255,45000,0.053254438,21.17647059,-35.29411765,-75000,2.666666667,30007,13532,12303,14533,4.51E-01,0.410004332,4.84E-01,1.63294,0.43323,0.36658,0.06665,0.1333,0,0,0,1.29968,0,0,0,0,0.03333,0,0.33325,0.03333,0.2666,0,25.4793386,84.4291592,"Vindyawasni Fuel Station, Arra Mohaniya Road Naya Tola Jagdishpur, Arra",0,0,0,0,1,0,0
Delhi,Urban,BPCL ,Laxmi filling station,1,"1) < 5,000",2700,30000000,14814.81481,14518.51852,151000,0.005008126,223.7037037,179.2592593,121000,0.198675497,323831,127735,112217,186023,0.394449574,0.346529517,0.574444695,1.42667,1.39579,0.31498,0.04014,0.26557,0.04632,0.10808,0.04014,1.84973,0.36439,0.00309,0.07411,0.04014,0.46629,0.2841,0.47247,0.29027,0.42306,0.1544,28.6402194,77.0749581,"Laxmi filling station, G1 Shopping Centre, Vikas Puri, Delhi",0,0,0,1,0,0,0
Mumbai,Urban,HPCL ,Western Petroleum,1,"2) 5,000-10,000",5000,16000000,4266.666667,4160,45000,0.002804612,36,-12,-15000,1.333333333,291270,149323,137327,229571,0.512661791,0.471476637,0.788172486,2.24877,1.91575,0.30213,0.05837,0.19913,0.03433,0.14763,0.05837,1.61706,0.21973,0,0.06523,0.01373,0.59052,0.26436,0.58022,0.35362,0.21286,0.21286,19.110381,72.925668,"Western Petroleum, Lbs Road Vikroli, Mumbai",0,0,0,0,0,0,0
Mumbai,Urban,BPCL ,Vikroli Petrol Pump,1,"2) 5,000-10,000",5500,10000000,2424.242424,2351.515152,45000,0.004479841,32.72727273,-21.81818182,-30000,1.666666667,281274,149978,137928,230577,0.533209611,0.490368822,0.819759381,2.16159,1.83095,0.29153,0.02133,0.17421,0.03911,0.14932,0.06044,1.7243,0.19909,0,0.05688,0,0.60439,0.24887,0.64706,0.35197,0.19909,0.19198,19.1053,72.9224666,"Vikroli Petrol Pump, Lbs Road Powai Bypass Vikroli, Mumbai",0,0,0,0,0,0,0
Guwahati,Urban,Essar/ Nayara,Yunic Service,1,"3) 10,000 - 15,000",14200,9000000,845.0704225,816.9014085,80000,0.008810573,22.53521127,2.816901408,10000,0.875,37807,11487,10696,17901,0.303832624,0.282910572,0.473483746,1.40187,1.56058,0.29095,0.02645,0.29095,0.02645,0.0529,0.02645,1.05802,0.39676,0,0.0529,0.07935,0.13225,0.2645,0.34386,0.0529,0.29095,0.13225,26.1584955,91.8118724,"Yunic Service, Vip Road,Near Pratiksha Hospital, Guwahati",1,0,0,1,0,0,0
NH 2 - Palwal,Highway,BPCL ,Roop Filling Station ,1,"2) 5,000-10,000",8000,150000000,25000,24916.66667,260000,0.001730334,130,55,110000,0.576923077,24962,11329,9931,13433,0.453849852,0.397844724,0.53813797,0.44067,0.44067,0.12018,0,0,0,0,0,0.2003,0.08012,0,0,0,0,0,0,0.12018,0.36055,0.04006,28.23914,77.2897742,"Roop Filling Station , 47 Km Stone Main Mathura Road Village Prithla Palwal, NH 2 - Palwal",0,1,0,0,0,0,1
Delhi,Urban,HPCL ,Kapoor Service Station,1,"2) 5,000-10,000",8500,16000000,2509.803922,2447.058824,110000,0.006828057,51.76470588,16.47058824,35000,0.681818182,490396,418882,372679,574086,0.854170915,0.75995522,0.99,2.42865,0.57301,0.28956,0.04282,0.13255,0.00816,0.03263,0.00612,2.47351,0.20188,0,0.02039,0.00612,0.24062,0.21819,0.80751,0.15498,0.21207,0.06525,28.7016898,77.2881532,"Kapoor Service Station, Wazirabad Road, Gokulpur, Shahadra, Delhi",1,0,1,0,0,0,0
Nagpur,Rural,IOCL ,Vij Sons,1,"2) 5,000-10,000",7500,30000000,5333.333333,5288.888889,165000,0.005469915,88,8,15000,0.909090909,99309,46433,44722,75182,0.467560845,0.450331793,0.757051224,1.66148,0.84584,0.3323,0.04028,0.12083,0,0.01007,0,1.70175,0.11077,0,0.02014,0,0.12083,0.05035,0.54376,0.15104,0.16111,0.1309,21.152976,79.0045888,"Vij Sons, Gondkheri Bhandari Road Nagpur Amravati , Nagpur",0,0,0,0,1,0,0
