6 City of Interview,7 Type of Outlet,8 Company,10 Outlet Name,43 - NFR Present or Not,44 Area bracket (sq. feet),44 Approx. area (sq. feet),Monthly Revenue (FR),Rev per Sq. Ft (FR),Margin per Sq. Ft (FR),Monthly Revenue (NFR),NFR revenues as % of Total revenues,Rev per Sq. ft (NFR),Margin per Sq. Ft (NFR),Monthly NFR Profit,Cost as % of Revenue,Demographics - Population - Total,Demographics - Male Population,Demographics - Female Population,Demographics - Total Literate Population,Demographics - Male %,Demographics - Female %,Demographics - Literacy %,Grocery / Hypermart - Concentration of Grocery / Hypermart With respect to Population,Restaurant - Concentration of Restaurant With respect to Population,Hospital - Concentration of Hospital With respect to Population,Police Station - Concentration of Police Station  With respect to Population,Higher Education Institutes - Concentration of higher education institutes  With respect to Population,Apparel Brands Budget - Concentration of apparel brands budget  With respect to Population,Apparel Brands Mid Range - Concentration of apparel brands mid range  With respect to Population,Apparel Brands - Luxury - High Range - Concentration of apparel brands - luxury - high range With respect to Population,Electronics Store - Concentration of Electronics Store  With respect to Population,Gym - Concentration of Gym  With respect to Population,Gym Mid-Range - Concentration of gym mid-range  With respect to Population,Pet Store - Concentration of Pet Store  With respect to Population,Car Rental - Concentration of Car Rental  With respect to Population,Clinics - Concentration of Clinics  With respect to Population,Dentist - Concentration of Dentist  With respect to Population,Pharmacy - Concentration of Pharmacy  With respect to Population,Private Sector Bank - Concentration of private sector bank  With respect to Population,Public Sector Bank - Concentration of public sector bank  With respect to Population,Cafe - Concentration of Cafe  With respect to Population,Latitude,Longitude,Address,Aggregated vehicle related requirements,Truck Stops (Auto Repair / Rest),QSR / Restaurant / Dhaba,Virtual C-store,One stop shop for daily farmer needs,Pharmacy,Forecourt Advertising
NH 48 (Delhi-Mumbai stretch),Highway,IOCL ,New Bombay Petroleum,1,"4) >20,000",27000,50000000,2469.135802,2444.444444,100000,0.001996008,14.81481481,10.37037037,70000,0.3,67489,18623,16359,27452,0.275941265,0.242395057,0.406762584,0.13336,0.17781,0.01482,0.01482,0.01482,0,0,0,0.20744,0,0,0,0,0,0,0.10372,0,0.04445,0.02963,19.097886,73.0714509,"New Bombay Petroleum, Highway Sanpada, NH 48 (Delhi-Mumbai stretch)",0,1,1,0,0,0,0
NH 48 (Delhi-Mumbai stretch),Highway,IOCL ,Jagnath Petrol Service,1,"4) >20,000",25000,40000000,2133.333333,2106.666667,335000,0.008305442,53.6,29.6,185000,0.447761194,255422,50385,44776,73020,0.197261786,0.175302049,0.285879838,1.28024,0.84958,0.34844,0.03132,0.14094,0,0.01175,0.00392,0.98269,0.11354,0,0.01958,0.01175,0.13703,0.2584,0.4659,0.16443,0.12528,0.08613,19.0331397,73.1052247,"Jagnath Petrol Service, Kalamboli Panvel Road, NH 48 (Delhi-Mumbai stretch)",0,1,1,0,0,0,0
NH 48 (Delhi-Mumbai stretch),Highway,IOCL ,Belapur Automobile,1,"4) >20,000",21000,40000000,2539.68254,2511.111111,450000,0.011124845,85.71428571,61.9047619,325000,0.277777778,209254,76548,66753,114021,0.365813796,0.319004655,0.54489281,0.97489,0.66426,0.25806,0.00956,0.08602,0,0.00956,0.00478,0.80285,0.10514,0.00478,0.03823,0.03823,0.15292,0.16248,0.54001,0.10036,0.06213,0.10514,19.1632121,73.0213256,"Belapur Automobile, Opp Belapur Stn Pune Bangalore Highway Belapur, NH 48 (Delhi-Mumbai stretch)",0,1,0,0,0,0,1
Nagpur,Rural,BPCL ,Bombay Automobiles,1,"4) >20,000",20000,20000000,1333.333333,1313.333333,90000,0.004479841,18,-12,-60000,1.666666667,62725,33111,31407,51853,0.527875648,0.500709446,0.826671981,1.67398,0.46234,0.30291,0.01594,0.17537,0,0,0,1.1957,0.12754,0,0,0,0.06377,0.01594,0.38262,0.04783,0.07971,0.03189,21.1454905,79.1717377,"Bombay Automobiles, Malgaon Village  Pardi Nagpur, Nagpur",0,0,0,0,1,0,0
NH-3 Indore,Highway,HPCL ,Supreme Auto Centre,1,"4) >20,000",20000,80000000,5333.333333,5298.333333,100000,0.001248439,20,12,60000,0.4,147288,57762,53450,81846,0.392170442,0.362894465,0.555686818,0.74684,0.8962,0.21726,0.02037,0.10184,0,0.03395,0.02037,0.80115,0.16295,0,0.02037,0.03395,0.14937,0.11542,0.39379,0.13579,0.17653,0.20368,22.774504,75.9029964,"Supreme Auto Centre, Dewas Naka, Lasudiya Mori, NH-3 Indore",0,1,1,0,0,0,0
NH-3 Indore,Highway,HPCL ,Gati Corporation Ltd.,1,"4) >20,000",20000,70000000,4666.666667,4640,220000,0.003133011,44,29,145000,0.340909091,128282,50309,46553,71285,0.392175052,0.362895808,0.555689808,0.69378,0.8263,0.1715,0.02339,0.07016,0,0.01559,0.02339,0.81071,0.10134,0,0.0078,0.03118,0.09354,0.06236,0.38977,0.10134,0.1637,0.1637,22.7780514,75.9033518,"Gati Corporation Ltd., Lasudiya Mori, Agra Bombay Highway, NH-3 Indore",0,0,1,0,0,0,0
Arra,Rural,Reliance ,Shriram Service Station,1,"4) >20,000",20000,4000000,266.6666667,250,35000,0.008674102,7,-3,-15000,1.428571429,29620,13563,12365,13658,0.457900068,0.417454423,0.46110736,0.03376,0.1688,0.10128,0,0.60769,0,0,0,0.10128,0,0,0,0,0.10128,0,0,0,0.20256,0.06752,28.8200421,78.6285581,"Shriram Service Station, Dhanupura, Arra",0,0,0,0,1,0,0
NH 2 - Palwal,Highway,HPCL ,M/S Motiram And Sons ,1,"4) >20,000",18000,50000000,3703.703704,3672.222222,150000,0.002991027,33.33333333,11.11111111,50000,0.666666667,89165,40467,35475,47984,0.453843997,0.397857904,0.538148377,0.96451,0.93086,0.94208,0.05608,0.23552,0.01122,0.01122,0,2.00752,0.24673,0,0.04486,0,0.16823,0.20187,0.67291,0.32524,0.35889,0.12337,28.138792,77.328192,"M/S Motiram And Sons , D.G.T. Road Palwal, NH 2 - Palwal",0,1,0,0,0,1,0
NH 48 (Delhi-Mumbai stretch),Highway,HPCL ,Gurukripa Petrol Pump,1,"4) >20,000",18000,100000000,7407.407407,7377.777778,245000,0.002444012,54.44444444,21.11111111,95000,0.612244898,234185,71498,62349,106498,0.305305634,0.26623823,0.454760126,1.67816,1.75502,0.39712,0.02135,0.28183,0,0.02562,0.00427,1.37071,0.29037,0,0.06832,0.0427,0.52949,0.41847,0.68749,0.30318,0.2434,0.2007,19.0429886,73.0088322,"Gurukripa Petrol Pump, Palm Beach Road Nerul, NH 48 (Delhi-Mumbai stretch)",0,1,0,0,0,0,0
Lucknow ,Rural,HPCL ,Mayur Filling Center ,1,"4) >20,000",16000,2000000,166.6666667,141.6666667,75000,0.036144578,18.75,1.25,5000,0.933333333,126656,57163,53072,73763,0.451324848,0.41902476,0.582388517,1.81594,0.91587,0.63163,0.10264,0.45004,0.06316,0.06316,0.04737,2.65285,0.12633,0,0.03948,0,0.26844,0.20528,1.68172,0.32371,0.65532,0.11843,26.7729751,82.1457934,"Mayur Filling Center , Faizabad BY Pass Road , Lucknow ",0,0,0,0,1,0,0
NCR,Urban,Essar/ Nayara,Essar Petrol Pump ,1,"3) 10,000 - 15,000",15000,15000000,1333.333333,1293.333333,130000,0.008592201,34.66666667,14.66666667,55000,0.576923077,23039,12074,10659,15929,0.524067885,0.462650289,0.691392856,2.90809,2.43065,2.47405,0.21702,0.52085,0.0434,0.0434,0.0434,4.42725,0.52085,0,0.0434,0,0.43404,0.30383,1.64937,0.73787,1.38894,0.21702,28.6131945,76.6457068,"Essar Petrol Pump , Jhajhar Road, Jewar, NCR",1,0,0,0,0,1,0
Lucknow ,Rural,BPCL ,Shivam Petroleum Pump,1,"4) >20,000",15500,6000000,516.1290323,490.3225806,70000,0.011532125,18.06451613,-5.161290323,-20000,1.285714286,14636,6045,5536,7628,0.413022684,0.378245422,0.52118065,0,0.13665,0.06832,0,0,0,0,0,0.06832,0,0,0,0,0,0,0.06832,0,0.06832,0,26.665228,80.924483,"Shivam Petroleum Pump, Mohanlalganj, Lucknow ",0,0,0,0,1,0,0
Patna,Urban,BPCL ,Bp Petroleum,1,"2) 5,000-10,000",9800,7000000,952.3809524,908.8435374,110000,0.015471167,44.89795918,14.28571429,35000,0.681818182,155787,67069,59732,85219,0.430517309,0.383420953,0.547022537,1.74598,0.70609,1.27739,0.02568,0.26318,0.01284,0.03851,0.01284,1.90645,0.1348,0,0.05777,0.01284,0.4044,0.30811,0.65474,0.19899,0.5071,0.18615,25.5774084,85.1523551,"Bp Petroleum, Dak Bangla, Patna",0,0,1,0,0,1,0
NH-3 Indore,Highway,Essar/ Nayara,Dwarka Filling Station,1,"3) 10,000 - 15,000",15000,85000000,7555.555556,7511.111111,25000,0.000294031,6.666666667,6.666666667,25000,0,17673,6167,5777,6906,0.348950376,0.326882816,0.390765575,0.84875,4.074,0.90533,0.11317,0.05658,0,0,0,1.52775,0.05658,0,0.05658,0.16975,0.05658,0.11317,0.679,0.56583,1.18825,0.679,22.2441975,68.9684562,"Dwarka Filling Station, Lasudiya Mori, Agra Bombay Road, NH-3 Indore",1,1,0,0,0,0,0
Hyderabad,Urban,HPCL ,Sri Radha Ramana Service Station,1,"3) 10,000 - 15,000",12000,20000000,2222.222222,2150,80000,0.003984064,26.66666667,18.33333333,55000,0.3125,329498,74523,72342,115351,0.226171327,0.219552167,0.350081032,2.00912,1.63582,0.86495,0.04856,0.91958,0.03338,0.1821,0.0607,2.96815,0.27314,0.00303,0.04552,0.03945,0.73445,0.41882,1.30805,0.56146,0.81032,0.35205,17.3985568,78.4929522,"Sri Radha Ramana Service Station, YMCA Chowrasta, Narayanguda, Hyderabad",1,0,0,0,0,1,0
NH-3 Indore,Highway,IOCL ,Unitara Automobles,1,"3) 10,000 - 15,000",15000,65000000,5777.777778,5724.444444,125000,0.001919386,33.33333333,24,90000,0.28,186565,83204,75206,124070,0.445978613,0.403108836,0.665022914,1.74738,0.82009,0.55209,0.03216,0.13936,0,0.00536,0,1.37754,0.2144,0,0.02144,0.03216,0.20904,0.27872,0.88977,0.20368,0.25192,0.12864,19.9615973,73.7641807,"Unitara Automobles, Lasudiya Mori, Agra Bombay Highway, NH-3 Indore",0,1,0,0,0,1,0
Nagpur,Rural,Reliance ,Hiwarkar Petrol,1,"3) 10,000 - 15,000",15000,25000000,2222.222222,2200,285000,0.011271505,76,36,135000,0.526315789,179859,88792,84869,141694,0.493675601,0.471864071,0.787806004,2.2184,0.77283,0.53375,0.01112,0.30579,0,0,0,1.3733,0.1946,0,0.03336,0,0.31135,0.20572,0.71167,0.07784,0.17792,0.08896,21.1176498,79.1354698,"Hiwarkar Petrol, Gulkeda Village Kalpana Road Nagpur , Nagpur",0,0,0,0,0,0,0
Hyderabad,Urban,Reliance ,Namskar Reliance Petro Marketing Ltd ,1,"3) 10,000 - 15,000",10000,25000000,3333.333333,3260,95000,0.003785615,38,22,55000,0.421052632,315101,119156,113990,174726,0.378151767,0.361757024,0.55450792,2.22468,1.77086,0.84417,0.11108,0.79974,0.04443,0.14281,0.04443,3.45603,0.22215,0,0.03808,0.05078,0.65693,0.29514,1.225,0.54586,0.78705,0.42526,17.385044,78.486671,"Namskar Reliance Petro Marketing Ltd , Kothapet Vegetables Market, Hyderabad",1,0,0,0,0,1,0
Lucknow ,Rural,IOCL ,Nvr Filling Station ,1,"3) 10,000 - 15,000",15000,3000000,266.6666667,240,45000,0.014778325,12,-14.66666667,-55000,2.222222222,28718,12391,11409,17160,0.431471551,0.397276969,0.597534647,1.32323,0.52233,0.24375,0,0.34822,0,0,0,1.4277,0.17411,0,0,0,0.17411,0.13929,0.34822,0,0.17411,0.17411,26.7482478,80.9068073,"Nvr Filling Station , Bijnor Road, Lucknow ",0,0,0,0,1,0,0
Hyderabad,Urban,BPCL ,Balakrishnaiah & Company,1,"3) 10,000 - 15,000",12000,30000000,3333.333333,3283.333333,582000,0.019030802,194,164,492000,0.154639175,260288,60578,57855,88659,0.232734509,0.222273021,0.340618853,2.47803,1.19483,0.77991,0.05379,0.6877,0.01921,0.08068,0.05379,1.93632,0.25357,0.00384,0.03458,0.02305,0.29967,0.36498,1.06036,0.42645,0.50329,0.24972,17.364878,78.5384893,"Balakrishnaiah & Company, Saroor Nagar, Xroad, Hyderabad",0,0,1,0,0,0,0
Hyderabad,Urban,HPCL ,MG Service Station,1,"3) 10,000 - 15,000",15000,20000000,1777.777778,1733.333333,35000,0.001746943,9.333333333,9.066666667,34000,0.028571429,232353,92881,90405,140330,0.399740911,0.389084712,0.603951746,3.00405,1.34709,0.71013,0.09899,0.60253,0,0.06025,0.00861,2.07443,0.28835,0,0.05165,0.01722,0.48633,0.31848,1.14481,0.49924,0.59392,0.44329,17.3912529,78.5124948,"MG Service Station, Auto Nagar Main Road, Hayath Nagar, Hyderabad",1,0,1,0,0,0,0
Ahmedabad,Urban,Reliance ,Pandya Petroleum,1,"1) < 5,000",2000,8000000,5333.333333,5033.333333,40000,0.004975124,80,-20,-10000,1.25,335007,142280,127761,211875,0.424707543,0.381368151,0.632449471,1.22087,0.88655,0.65969,0.06866,0.17015,0.01493,0.06866,0.01194,1.3343,0.09851,0,0.05075,0.00597,0.26865,0.18806,0.4985,0.1791,0.29552,0.15224,22.9991264,72.5932419,"Pandya Petroleum, Mira Cinema  Maninagaar Road, , Ahmedabad",0,0,0,1,0,0,0
Hyderabad,Urban,IOCL ,Kisan Seva Filling Station,1,"3) 10,000 - 15,000",13000,20000000,2051.282051,1994.871795,80000,0.003984064,24.61538462,12.30769231,40000,0.5,205499,97808,95083,148028,0.475953654,0.462693249,0.720334406,2.073,1.7129,0.64234,0.09732,0.48175,0.0438,0.16058,0.04866,3.45987,0.22385,0.00487,0.10706,0.05353,0.47689,0.22385,1.03163,0.59368,0.79806,0.28711,17.431758,78.4925935,"Kisan Seva Filling Station, MG Road, Kothaguda, Hyderabad",1,0,0,0,0,0,0
Patna,Urban,IOCL ,Laxmi Jagat Services Station,1,"2) 5,000-10,000",9540,7000000,978.3368274,926.6247379,50000,0.007092199,20.96436059,-2.096436059,-5000,1.1,156764,71841,63685,96239,0.458274859,0.406247608,0.613910081,1.9775,0.72083,0.6379,0.03827,0.28068,0,0.03827,0.00638,1.88819,0.14034,0,0.07017,0.00638,0.1531,0.16585,0.59963,0.14672,0.31257,0.14672,25.580049,85.126762,"Laxmi Jagat Services Station, Bailey Road, Patna",1,0,0,0,0,1,0
Lucknow ,Rural,HPCL ,Janta Automobile ,1,"3) 10,000 - 15,000",14000,10000000,952.3809524,928.5714286,100000,0.00990099,28.57142857,0,0,1,108222,46697,42993,64667,0.431492672,0.39726673,0.597540241,2.81829,1.05339,0.60986,0.06468,0.38809,0.05544,0.06468,0.01848,2.18071,0.33265,0.00924,0.07392,0.00924,0.58214,0.34189,0.85011,0.12936,0.28645,0.21253,26.77881,80.94268,"Janta Automobile , Safaidabad Lucknow , Lucknow ",0,0,0,0,0,0,0
Vijayawada,Rural,BPCL ,Bp Ibrahimpatnam,1,"3) 10,000 - 15,000",14000,20000000,1904.761905,1876.190476,15000,0.000749438,4.285714286,-10,-35000,3.333333333,17668,9296,9619,13137,0.52614897,0.544430609,0.743547657,1.69798,1.13198,0.50939,0.0566,1.18858,0,0,0,1.07538,0.1698,0,0,0.1698,0.1132,0.1698,0.39619,0.3396,0.73579,0.283,16.5988856,80.5107851,"Bp Ibrahimpatnam, Jupudi Village Vijayawada To Hyderabad Highway, Vijayawada",0,0,0,0,1,0,0
Ahmedabad,Urban,IOCL ,Sainik Seva Service,1,"3) 10,000 - 15,000",14000,18000000,1714.285714,1652.380952,35000,0.001940671,10,2.857142857,10000,0.714285714,399005,169461,152168,252350,0.424708964,0.381368655,0.632448215,1.05512,1.02505,0.49373,0.01253,0.19549,0.00752,0.07017,0.02757,1.23307,0.16291,0,0.04762,0.00501,0.51378,0.38596,0.39849,0.22556,0.29072,0.23057,23.0195344,72.5297618,"Sainik Seva Service, 132 feet Road, Satellite Road, Ahmedabad",1,0,0,1,0,0,0
NH-3 Indore,Highway,BPCL ,Sri Sai Filling Center,1,"3) 10,000 - 15,000",14000,90000000,8571.428571,8523.809524,100000,0.001109878,28.57142857,17.14285714,60000,0.4,16565,6774,6287,9378,0.4089345,0.379535165,0.566133414,0.24147,0.48295,0.06037,0,0.42258,0,0,0,0.12074,0,0,0,0,0,0,0.12074,0,0.06037,0.12074,22.7933774,75.9364918,"Sri Sai Filling Center, Talawali Chanda, Agra Bombay Highway, NH-3 Indore",0,1,0,0,0,0,0
Patna,Urban,BPCL ,Jaya Fuel,1,"2) 5,000-10,000",6500,5000000,1025.641026,953.8461538,120000,0.0234375,73.84615385,18.46153846,30000,0.75,277507,125968,111444,171170,0.453927288,0.40158987,0.61681327,1.46663,1.17114,0.47927,0.05766,0.47566,0.06126,0.24864,0.05405,1.60356,0.17297,0,0.06847,0.01802,0.49729,0.32432,0.47927,0.26306,0.69548,0.23783,25.6180864,85.1218195,"Jaya Fuel, Panchmukhi Mandir, Patna",0,0,0,1,0,0,0
Delhi,Urban,BPCL ,Rohini Filling Station ,1,"3) 10,000 - 15,000",13000,13000000,1333.333333,1292.307692,120000,0.009146341,36.92307692,9.230769231,30000,0.75,374591,234413,204502,330661,0.625783855,0.545934099,0.882725426,1.52433,1.46293,0.47785,0.04538,0.43247,0.06674,0.20289,0.06674,1.78862,0.40578,0.01335,0.05873,0.06407,0.67273,0.54192,0.62201,0.32569,0.42713,0.21357,28.7017529,77.1213263,"Rohini Filling Station , Sector 8 Rohini, Delhi",1,0,0,1,0,0,0
NH-3 Indore,Highway,IOCL ,Sidhh Vijay fuels,1,"3) 10,000 - 15,000",13000,80000000,8205.128205,8153.846154,70000,0.000874235,21.53846154,9.230769231,30000,0.571428571,186565,83204,75206,124070,0.445978613,0.403108836,0.665022914,1.74738,0.82009,0.55209,0.03216,0.13936,0,0.00536,0,1.37754,0.2144,0,0.02144,0.03216,0.20904,0.27872,0.88977,0.20368,0.25192,0.12864,19.9615973,73.7641807,"Sidhh Vijay fuels, Lasudiya Mori, Agra Bombay Road, NH-3 Indore",0,1,0,0,0,1,0
Patna,Urban,IOCL ,Prabhat Service Station,1,"2) 5,000-10,000",8100,8000000,1316.872428,1259.259259,50000,0.00621118,24.69135802,-12.34567901,-25000,1.5,153980,69845,61466,80959,0.45359787,0.399181712,0.525776075,1.30536,0.60397,0.47409,0.05845,0.20132,0.01948,0.03897,0.01299,1.28588,0.07793,0,0.03247,0.00649,0.18834,0.20782,0.578,0.16885,0.40265,0.05845,25.6225339,85.0432856,"Prabhat Service Station, Saguna More Balliey Road, Patna",1,0,0,0,0,0,0
Delhi,Urban,HPCL ,S B Filling Station ,1,"3) 10,000 - 15,000",13500,6000000,592.5925926,558.0246914,105000,0.017199017,31.11111111,4.444444444,15000,0.857142857,379143,234251,204367,330380,0.617843399,0.539023535,0.871386258,1.6801,1.32404,0.44047,0.04484,0.39827,0.06066,0.18199,0.06066,1.86737,0.37453,0.01055,0.05011,0.05275,0.61454,0.53278,0.60927,0.2532,0.32969,0.19781,28.7009364,77.1166042,"S B Filling Station , M2k Sector 3 Rohini, Delhi",1,0,1,1,0,0,0
Patna,Urban,HPCL ,Chetak Service Centre,1,"2) 5,000-10,000",6820,5000000,977.5171065,907.1358749,65000,0.012833169,38.12316716,2.93255132,5000,0.923076923,314512,142765,126305,193995,0.453925446,0.4015904,0.616812713,1.43079,1.19868,0.43878,0.06995,0.42606,0.05723,0.24482,0.05405,1.9109,0.17487,0,0.06995,0.01908,0.47693,0.30523,0.53098,0.27026,0.64226,0.24164,25.609499,85.122204,"Chetak Service Centre, Belly Road, Patna",1,0,0,0,0,0,0
Ahmedabad,Urban,HPCL ,Shreeji Auto,1,"1) < 5,000",4500,18000000,5333.333333,5200,20000,0.001109878,17.77777778,4.444444444,5000,0.75,362410,153919,138212,229206,0.424709583,0.381369168,0.632449436,1.27756,0.99335,0.43873,0.02483,0.10761,0.01104,0.06346,0.01656,1.14787,0.15452,0,0.03863,0.01932,0.33112,0.29249,0.44977,0.18487,0.23178,0.19039,23.0045931,72.5237681,"Shreeji Auto, Near Jivraj Park, Cross Road, Ahmedabad",0,0,0,1,0,0,0
Vijayawada,Rural,Reliance ,Reliance Petrol Pump,1,"3) 10,000 - 15,000",13000,8000000,820.5128205,800,70000,0.008674102,21.53846154,6.153846154,20000,0.714285714,4550,1760,1806,2018,0.386813187,0.396923077,0.443516484,0,0.2198,0,0,0,0,0,0,0,0.2198,0,0,0,0,0.2198,0.2198,0,0,0,16.5638643,80.2558288,"Reliance Petrol Pump, Jupudi Village Vijayawada To Hyderabad Highway, Vijayawada",0,0,0,0,1,0,0
Vijayawada,Rural,HPCL ,Ravi Service Station (HP) ,1,"3) 10,000 - 15,000",13000,20000000,2051.282051,2020.512821,20000,0.000999001,6.153846154,-15.38461538,-50000,3.5,3935,1734,1729,2314,0.440660737,0.439390089,0.588055909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.518234,81.0071347,"Ravi Service Station (HP) , Tumalapally Village, Vijayawada",0,0,0,0,1,0,0
Vijayawada,Rural,IOCL ,Sri Surya Filling Station,1,"3) 10,000 - 15,000",12000,5000000,555.5555556,522.2222222,95000,0.018645731,31.66666667,13.33333333,40000,0.578947368,400037,247132,245672,361539,0.617772856,0.614123194,0.903763902,1.28988,1.23989,1.20489,0.06999,0.32247,0.015,0.08249,0.035,1.66485,0.15999,0,0.05,0.07749,0.36497,0.29247,0.77993,0.25498,0.47996,0.26998,16.5159517,80.6385561,"Sri Surya Filling Station, Eluru Road, Vijayawada",0,0,0,0,1,0,0
NH 2 - Palwal,Highway,IOCL ,IOCL,1,"3) 10,000 - 15,000",12000,60000000,6666.666667,6611.111111,201500,0.003347093,67.16666667,40.5,121500,0.397022333,86221,39132,34304,46400,0.453856949,0.39786131,0.538151958,0.90465,0.96264,0.98584,0.06959,0.23196,0.0116,0.0116,0,1.91368,0.19717,0,0.03479,0,0.13918,0.19717,0.71908,0.33634,0.37114,0.13918,28.1472852,77.3259878,"IOCL, Lalpur Chowk Palwal, NH 2 - Palwal",0,1,0,0,0,1,0
Guwahati,Urban,IOCL ,Ganga Filling Station,1,"3) 10,000 - 15,000",14900,9000000,805.3691275,774.049217,70000,0.007717751,18.79194631,4.026845638,15000,0.785714286,21613,6532,6069,10428,0.302225512,0.28080322,0.482487392,1.06416,1.1567,0.41641,0.04627,0.23134,0,0,0,0.92536,0.1388,0,0,0,0.1388,0,0.32388,0,0.27761,0,26.118521,91.6966852,"Ganga Filling Station, Boragaon, Guwahati",1,0,1,0,0,0,0
Hyderabad,Urban,HPCL ,Hayath Fillling Station,1,"3) 10,000 - 15,000",15000,22500000,2000,1946.666667,110000,0.004865104,29.33333333,18.66666667,70000,0.363636364,59189,20795,19794,29373,0.351332173,0.334420247,0.496257751,1.53745,0.54064,0.40548,0.03379,0.28722,0,0,0,0.86165,0.10137,0,0.05069,0,0.08448,0.10137,0.45617,0.20274,0.06758,0.03379,17.3224,78.6114,"Hayath Fillling Station, Hayath Nagar Main Road, Hyderabad",1,0,1,0,0,0,0
Lucknow ,Rural,IOCL ,Vinayak Kisan Seva Kendra Petrol Pump,1,"3) 10,000 - 15,000",12000,2000000,222.2222222,188.8888889,210000,0.095022624,70,28.33333333,85000,0.595238095,30872,13321,12264,18447,0.431491319,0.397253174,0.597531744,1.9435,0.93936,0.3887,0.06478,0.90697,0,0,0,1.71676,0.16196,0,0,0,0.12957,0.16196,0.48587,0.03239,0.32392,0.19435,26.7319135,80.9018847,"Vinayak Kisan Seva Kendra Petrol Pump, Bejnor Road, Lucknow ",0,0,0,0,1,0,0
